Source,Target,Weight,Type
New Mexico, Utah,3,Directed
New Mexico,Air Force,3,Directed
New Mexico,Texas A&M,3,Directed
New Mexico,UNLV,3,Directed
New Mexico State,Arkansas,3,Directed
New Mexico State,Boise State,3,Directed
New Mexico State,Hawaii,3,Directed
New Mexico State,Louisiana,3,Directed
New Mexico State,Louisiana Tech,3,Directed
Nicholls State,South Alabama,3,Directed
North Carolina,Florida State,3,Directed
North Texas,Alabama,3,Directed
North Texas,Louisiana,3,Directed
North Texas,Middle Tennessee,3,Directed
North Texas,Oklahoma,3,Directed
Northern Illinois,Ball State,3,Directed
Northern Illinois,Central Michigan,3,Directed
Northern Illinois,Ohio,3,Directed
Northern Illinois,Wisconsin,3,Directed
Northwestern, Michigan,3,Directed
Northwestern, Michigan State,3,Directed
Northwestern, Ohio State,3,Directed
Northwestern,Michigan State,3,Directed
Northwestern,Purdue,3,Directed
Ohio,Iowa State,3,Directed
Oklahoma State,Oklahoma,3,Directed
Oklahoma State,Texas A&M,3,Directed
Oregon State, Oregon,3,Directed
Oregon State,Boise State,3,Directed
Oregon State,Colorado,3,Directed
Penn State, Michigan,3,Directed
Penn State,Illinois,3,Directed
Penn State,Michigan State,3,Directed
Penn State,Nebraska,3,Directed
Penn State,Northwestern,3,Directed
Pittsburgh,Rutgers,3,Directed
Rhode Island,Syracuse,3,Directed
Rice,Baylor,3,Directed
Rice,Marshall,3,Directed
Rice,Southern Miss,3,Directed
Rutgers,Nebraska,3,Directed
Rutgers,Penn State,3,Directed
Rutgers,Pittsburgh,3,Directed
Rutgers,Wisconsin,3,Directed
Samford,Georgia Tech,3,Directed
San Diego State, Utah,3,Directed
San Diego State,Hawaii,3,Directed
San Diego State,Oregon State,3,Directed
San Diego State,TCU,3,Directed
San Jose State,USC,3,Directed
San Jose State,Washington,3,Directed
SMU,Southern Miss,3,Directed
South Alabama,NC State,3,Directed
South Alabama,Troy,3,Directed
South Carolina,Clemson,3,Directed
South Carolina State,UCF,3,Directed
Southern Miss,Nebraska,3,Directed
Southern Miss,UTEP,3,Directed
Stephen F. Austin,SMU,3,Directed
Syracuse, Florida State,3,Directed
Syracuse,Clemson,3,Directed
Syracuse,Louisville,3,Directed
Temple,Ohio,3,Directed
Texas A&M, Alabama,3,Directed
Texas A&M, Oklahoma State,3,Directed
Texas A&M,Colorado,3,Directed
Texas A&M,Kansas State,3,Directed
Texas A&M,Nebraska,3,Directed
Texas Southern,UTEP,3,Directed
Texas State,Arkansas State,3,Directed
Texas State,Louisiana,3,Directed
Texas State,Troy,3,Directed
Texas Tech,Texas A&M,3,Directed
Toledo,Arizona,3,Directed
Toledo,Miami (OH),3,Directed
Toledo,Western Michigan,3,Directed
Troy,Arkansas,3,Directed
Troy,South Alabama,3,Directed
Troy State,Nebraska,3,Directed
Tulsa,Arkansas,3,Directed
Tulsa,Boise State,3,Directed
UAB,Florida State,3,Directed
UAB,Troy,3,Directed
UCF,East Carolina,3,Directed
UCF,Marshall,3,Directed
UCF,Syracuse,3,Directed
UCLA, Stanford,3,Directed
UCLA, USC,3,Directed
UCLA,Oregon State,3,Directed
UCLA,Washington State,3,Directed
UMass,Kansas State,3,Directed
